epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.29327,0.91177,0.91448,1,0.26116,0.000367864,0.000367864,0.000367864
2,10.0833,0.41917,0.90573,1,0.26728,0.00073089,0.00073089,0.00073089
3,13.7653,0.49201,0.862,1,0.40188,0.00108658,0.00108658,0.00108658
4,17.0074,0.43253,0.85326,1,0.3833,0.001078,0.001078,0.001078
5,20.4073,0.40228,0.91351,1,0.24177,0.001067,0.001067,0.001067
6,24.2494,0.34726,0.9174,1,0.2364,0.00105601,0.00105601,0.00105601
7,27.6065,0.28788,0.85617,1,0.43044,0.00104501,0.00104501,0.00104501
8,31.337,0.30384,0.92323,1,0.22927,0.00103401,0.00103401,0.00103401
9,34.7171,0.26272,0.94266,1,0.18268,0.00102301,0.00102301,0.00102301
10,38.1639,0.25721,0.94169,1,0.18006,0.00101201,0.00101201,0.00101201
11,41.7889,0.24547,0.92517,1,0.24647,0.00100101,0.00100101,0.00100101
12,45.2526,0.24177,0.93878,1,0.22538,0.000990012,0.000990012,0.000990012
13,48.6595,0.22173,0.91545,1,0.24761,0.000979013,0.000979013,0.000979013
14,52.4894,0.22653,0.94072,1,0.18041,0.000968014,0.000968014,0.000968014
15,56.015,0.21298,0.93975,1,0.19724,0.000957015,0.000957015,0.000957015
16,59.5052,0.20839,0.93392,1,0.21828,0.000946016,0.000946016,0.000946016
17,63.0513,0.19701,0.94849,1,0.18306,0.000935018,0.000935018,0.000935018
18,66.4881,0.19587,0.9378,1,0.21993,0.000924019,0.000924019,0.000924019
19,70.0014,0.19532,0.95335,1,0.15906,0.00091302,0.00091302,0.00091302
20,73.3412,0.19164,0.94752,1,0.18639,0.000902021,0.000902021,0.000902021
21,77.1592,0.1713,0.94461,1,0.16527,0.000891022,0.000891022,0.000891022
22,80.6871,0.15453,0.94558,1,0.23887,0.000880023,0.000880023,0.000880023
23,84.469,0.1729,0.94363,1,0.17082,0.000869024,0.000869024,0.000869024
24,87.8702,0.1628,0.94655,1,0.21293,0.000858025,0.000858025,0.000858025
25,91.2333,0.14764,0.94947,1,0.17685,0.000847026,0.000847026,0.000847026
26,94.7179,0.13426,0.94655,1,0.16117,0.000836027,0.000836027,0.000836027
27,98.3104,0.15375,0.95821,1,0.17164,0.000825029,0.000825029,0.000825029
28,101.759,0.14094,0.95238,1,0.17034,0.00081403,0.00081403,0.00081403
29,105.113,0.12491,0.95141,1,0.15912,0.000803031,0.000803031,0.000803031
30,108.537,0.12721,0.96113,1,0.13023,0.000792032,0.000792032,0.000792032
31,112.24,0.14248,0.94363,1,0.19561,0.000781033,0.000781033,0.000781033
32,115.602,0.1111,0.95432,1,0.14921,0.000770034,0.000770034,0.000770034
33,118.859,0.12204,0.96307,1,0.14178,0.000759035,0.000759035,0.000759035
34,122.306,0.12587,0.95627,1,0.15868,0.000748036,0.000748036,0.000748036
35,125.62,0.10887,0.95821,1,0.16131,0.000737037,0.000737037,0.000737037
36,129.402,0.09833,0.95918,1,0.16173,0.000726038,0.000726038,0.000726038
37,133.155,0.10327,0.95724,1,0.1377,0.00071504,0.00071504,0.00071504
38,136.74,0.11682,0.94849,1,0.27664,0.000704041,0.000704041,0.000704041
39,140.015,0.11797,0.9553,1,0.1671,0.000693042,0.000693042,0.000693042
40,143.981,0.11287,0.96307,1,0.13549,0.000682043,0.000682043,0.000682043
41,147.239,0.11394,0.95821,1,0.15047,0.000671044,0.000671044,0.000671044
42,150.96,0.09598,0.96307,1,0.164,0.000660045,0.000660045,0.000660045
43,154.639,0.09472,0.95918,1,0.20033,0.000649046,0.000649046,0.000649046
44,158.133,0.08925,0.95821,1,0.18515,0.000638047,0.000638047,0.000638047
45,161.859,0.08492,0.95724,1,0.19984,0.000627048,0.000627048,0.000627048
46,165.592,0.09003,0.96696,1,0.1176,0.000616049,0.000616049,0.000616049
47,169.215,0.09756,0.95724,1,0.21621,0.000605051,0.000605051,0.000605051
48,172.887,0.07727,0.96113,1,0.15695,0.000594052,0.000594052,0.000594052
49,176.278,0.08406,0.96307,1,0.15125,0.000583053,0.000583053,0.000583053
50,179.826,0.08436,0.95724,1,0.14363,0.000572054,0.000572054,0.000572054
51,183.218,0.09108,0.95918,1,0.15604,0.000561055,0.000561055,0.000561055
52,186.768,0.07595,0.96404,1,0.15704,0.000550056,0.000550056,0.000550056
53,190.269,0.07082,0.96113,1,0.14068,0.000539057,0.000539057,0.000539057
54,193.695,0.08949,0.9621,1,0.13787,0.000528058,0.000528058,0.000528058
55,197.086,0.0737,0.95918,1,0.16666,0.000517059,0.000517059,0.000517059
56,200.587,0.07032,0.96696,1,0.1423,0.00050606,0.00050606,0.00050606
57,204.266,0.06973,0.9621,1,0.15618,0.000495062,0.000495062,0.000495062
58,207.858,0.059,0.96599,1,0.15464,0.000484063,0.000484063,0.000484063
59,211.376,0.05699,0.95821,1,0.16642,0.000473064,0.000473064,0.000473064
60,214.603,0.06439,0.96404,1,0.12886,0.000462065,0.000462065,0.000462065
61,218.091,0.07253,0.9689,1,0.12938,0.000451066,0.000451066,0.000451066
62,221.896,0.05734,0.96793,1,0.1477,0.000440067,0.000440067,0.000440067
63,225.336,0.05238,0.96501,1,0.14876,0.000429068,0.000429068,0.000429068
64,229.322,0.05027,0.96599,1,0.12382,0.000418069,0.000418069,0.000418069
65,232.862,0.05837,0.9689,1,0.13174,0.00040707,0.00040707,0.00040707
66,236.684,0.05333,0.96501,1,0.15037,0.000396071,0.000396071,0.000396071
67,240.317,0.05305,0.96501,1,0.14175,0.000385073,0.000385073,0.000385073
68,244,0.05987,0.96113,1,0.14378,0.000374074,0.000374074,0.000374074
69,247.545,0.05135,0.96599,1,0.14399,0.000363075,0.000363075,0.000363075
